received_utc,nsb,year,month
2017-06-01,5.98,2017,6
2017-06-01,6.42,2017,6
2017-06-01,6.56,2017,6
2017-06-01,7.0,2017,6
2017-06-01,7.43,2017,6
2017-06-01,9.17,2017,6
2017-06-01,9.99,2017,6
2017-06-01,10.9,2017,6
2017-06-01,12.9,2017,6
2017-06-01,14.34,2017,6
2017-06-01,14.87,2017,6
2017-06-01,14.72,2017,6
2017-06-01,14.95,2017,6
2017-06-01,14.77,2017,6
2017-06-01,14.89,2017,6
2017-06-01,14.79,2017,6
2017-06-01,15.14,2017,6
2017-06-01,14.77,2017,6
2017-06-01,15.05,2017,6
2017-06-01,15.07,2017,6
2017-06-01,14.76,2017,6
2017-06-01,14.72,2017,6
2017-06-01,15.12,2017,6
2017-06-01,15.14,2017,6
2017-06-01,15.07,2017,6
2017-06-01,15.0,2017,6
2017-06-01,15.02,2017,6
2017-06-01,15.89,2017,6
2017-06-01,15.34,2017,6
2017-06-01,15.33,2017,6
2017-06-01,14.9,2017,6
2017-06-01,15.13,2017,6
2017-06-01,15.06,2017,6
2017-06-01,15.12,2017,6
2017-06-01,14.97,2017,6
2017-06-01,14.97,2017,6
2017-06-01,14.96,2017,6
2017-06-01,15.15,2017,6
2017-06-01,15.04,2017,6
2017-06-01,15.14,2017,6
2017-06-01,15.1,2017,6
2017-06-01,15.22,2017,6
2017-06-01,15.36,2017,6
2017-06-01,15.28,2017,6
2017-06-01,15.45,2017,6
2017-06-01,15.43,2017,6
2017-06-01,15.37,2017,6
2017-06-01,15.54,2017,6
2017-06-01,15.5,2017,6
2017-06-01,15.5,2017,6
2017-06-01,16.6,2017,6
2017-06-01,15.9,2017,6
2017-06-01,15.64,2017,6
2017-06-01,15.53,2017,6
2017-06-01,16.0,2017,6
2017-06-01,15.42,2017,6
2017-06-01,15.47,2017,6
2017-06-01,15.67,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.49,2017,6
2017-06-01,15.45,2017,6
2017-06-01,15.46,2017,6
2017-06-01,15.61,2017,6
2017-06-01,15.59,2017,6
2017-06-01,15.38,2017,6
2017-06-01,15.82,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.55,2017,6
2017-06-01,15.49,2017,6
2017-06-01,15.61,2017,6
2017-06-01,15.64,2017,6
2017-06-01,15.92,2017,6
2017-06-01,15.8,2017,6
2017-06-01,16.02,2017,6
2017-06-01,15.47,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.91,2017,6
2017-06-01,15.52,2017,6
2017-06-01,15.48,2017,6
2017-06-01,15.49,2017,6
2017-06-01,15.47,2017,6
2017-06-01,15.53,2017,6
2017-06-01,15.39,2017,6
2017-06-01,15.21,2017,6
2017-06-01,14.84,2017,6
2017-06-01,13.14,2017,6
2017-06-01,11.15,2017,6
2017-06-01,10.17,2017,6
2017-06-01,9.03,2017,6
2017-06-01,8.4,2017,6
2017-06-01,8.12,2017,6
2017-06-01,7.88,2017,6
2017-06-01,6.95,2017,6
2017-06-01,6.82,2017,6
2017-06-01,6.69,2017,6
2017-06-01,7.32,2017,6
2017-06-01,6.51,2017,6
2017-06-01,6.47,2017,6
2017-06-01,6.67,2017,6
2017-06-01,6.39,2017,6
2017-06-01,6.42,2017,6
2017-06-02,6.08,2017,6
2017-06-02,6.22,2017,6
2017-06-02,6.71,2017,6
2017-06-02,6.87,2017,6
2017-06-02,7.88,2017,6
2017-06-02,8.49,2017,6
2017-06-02,9.25,2017,6
2017-06-02,10.91,2017,6
2017-06-02,12.43,2017,6
2017-06-02,13.56,2017,6
2017-06-02,14.78,2017,6
2017-06-02,15.15,2017,6
2017-06-02,14.75,2017,6
2017-06-02,14.79,2017,6
2017-06-02,14.84,2017,6
2017-06-02,14.85,2017,6
2017-06-02,15.18,2017,6
2017-06-02,14.76,2017,6
2017-06-02,15.0,2017,6
2017-06-02,15.08,2017,6
2017-06-02,15.06,2017,6
2017-06-02,15.25,2017,6
2017-06-02,14.92,2017,6
2017-06-02,14.81,2017,6
2017-06-02,15.34,2017,6
2017-06-02,14.87,2017,6
